id,title,organization_id,publisher_section,update_frequency,contact_email,metadata_created,metadata_modified,homepage,related_record_type,time_period_start
01396e33-2c69-47e5-9381-32e717943b96,Algorithmic Impact Assessment – Advanced Analytics Triage of Visitor Record Applications,3,,Continual,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2022-10-07T19:45:59.984Z,2025-02-21T13:51:03.550Z,,,
04556b29-284a-4d2b-8076-928476d64553,Algorithmic Impact Assessment - Automated Triage and Positive Eligibility Determinations of In-Canada Work Permit Applications,3,,Continual,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2023-09-25T21:21:20.701Z,2024-11-22T14:57:06.938Z,,,
061ee9d1-a04a-4590-a381-df8527390f68,"GC HR and Pay - Algorithmic Impact Assessment (AIA), Leveraging Artificial Intelligence (AI) for backlog reduction: AI assistant prototype",5,,Not Planned,open-ouvert@tbs-sct.gc.ca,2024-04-18T14:32:32.713Z,2025-03-05T15:42:22.025Z,,,
123aefbb-c9cb-4243-9be3-7f901daf13f7,Old Age Security Extended Absence Leave Prioritization,2,,As Needed,open-ouvert@tbs-sct.gc.ca,2024-12-10T21:35:08.367Z,2024-12-10T21:35:08.367Z,,,
1257e5c1-243f-4ab8-be42-e7433c8ebe70,Assessments - Passport Program Facial Recognition System,3,,As Needed,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2025-08-20T20:20:44.958Z,2025-08-20T20:20:44.958Z,,,
240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,Algorithmic Impact Assessment – Integrity trends analysis tool,3,,Continual,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2022-12-28T14:28:11.201Z,2025-03-28T14:30:48.757Z,,,
24d2cab2-6a0d-4234-9239-b6ce102ebabd,Reducing Employment Insurance Backlog: A Machine Learning Approach,2,,Not Planned,morgan.goddard@servicecanada.gc.ca,2023-06-28T22:42:32.368Z,2024-11-21T02:17:07.678Z,,,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Algorithmic Impact Assessment - CBSA Assessment and Revenue Management (CARM),1,,Not Planned,CBSA.OpenGov-GouvOuvert.ASFC@cbsa-asfc.gc.ca,2025-12-09T18:21:09.554Z,2025-12-09T18:21:09.554Z,,,
52b8574d-5c95-463b-b375-8edd092cea30,Using artificial intelligence (AI) to automate candidate evaluations in the staffing process's assessment phase,9,Human Resources Division,Continual,sabrina.nandkissore@tbs-sct.gc.ca,2024-02-28T14:51:05.445Z,2024-11-21T03:33:07.484Z,,,
5423054a-093c-4239-85be-fa0b36ae0b2e,Algorithmic Impact Assessment,9,,Continual,ai-ia@tbs-sct.gc.ca,2020-01-30T16:20:50.572Z,2024-11-21T01:26:00.981Z,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html,,
6b429c8e-ee5b-451a-883f-b6180ada9286,Algorithmic Impact Assessment - Employment Insurance Machine Learning Workload,2,,As Needed,open-ouvert@tbs-sct.gc.ca,2024-04-16T14:11:38.003Z,2024-11-21T03:06:25.784Z,,,
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,Algorithmic Impact Assessment - Advanced Analytics Triage of Overseas Temporary Resident Visa Applications,3,,As Needed,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2022-01-21T16:11:05.488Z,2025-01-27T13:10:31.956Z,,,
71b309a0-efd2-4e85-8124-37e935c23aef,Algorithmic Impact Assessment Results - Administrative Activities Support Tool,3,,As Needed,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2025-03-28T13:20:46.480Z,2025-03-28T13:20:46.480Z,,,
7612202f-1530-41ce-80c7-6e121f5fcadc,Algorithmic Impact Assessments Results - Voice 2 Text application,7,Specialized Software Development Unit (SSDU),Not Planned,Christie.Sainsbury@rcmp-grc.gc.ca,2024-12-20T14:50:30.380Z,2024-12-23T16:50:23.560Z,https://rcmp.ca/en/specialized-policing-services,,
89898244-aaae-4591-ba9b-fe5cd81d5924,Algorithmic Impact Assessment Results - Griffeye Tool,7,Sensitive and Specialized Investigative Services (SSIS),Not Planned,RCMP.ssistech-techsesnd.GRC@rcmp-grc.gc.ca,2024-03-26T20:18:59.556Z,2024-11-21T03:55:13.516Z,https://www.rcmp-grc.gc.ca/en/online-child-sexual-exploitation,,
9addf54a-7148-459f-b785-0e240414ef7f,Algorithmic Impact Assessment Results - Mental Health Benefit,10,Corporate Services,As Needed,Daniel.Andrews@veterans.gc.ca,2022-12-09T18:38:40.068Z,2024-11-20T21:54:38.293Z,,,
aafdfbcd-1cdb-4913-84d5-a03df727680c,Algorithmic Impact Assessment Results - Automation Development to Support Disability Benefit Decision Making,10,Corporate Services,As Needed,Daniel.Andrews@veterans.gc.ca,2024-01-08T17:31:15.090Z,2024-11-21T03:58:26.433Z,,,
ad4be3b8-ac97-4dc1-8dd8-231239d018f2,Algorithmic Impact Assessment - Automation Tools to Help Process Privately Sponsored Refugee Applications,3,,As Needed,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2022-12-16T15:34:16.920Z,2024-11-22T14:57:07.318Z,,,
afc17416-3781-422d-a4a9-cc55e3a053c8,Algorithmic Impact Assessment - ArriveCAN Proof of Vaccination Recognition,4,,As Needed,open-ouvert@tbs-sct.gc.ca,2021-10-27T18:32:00.545Z,2024-11-21T01:27:57.865Z,,,
b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,Algorithmic Impact Assessment - Temporary Foreign Worker Program Case Selection Algorithm,2,,As Needed,open-ouvert@tbs-sct.gc.ca,2025-06-06T14:10:51.001Z,2025-06-06T14:10:51.001Z,,,
b4a417f7-5040-4328-9863-bb8bbb8568c3,International Experience Canada Work Permit Eligibility Model,3,,Continual,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2023-11-07T13:31:33.002Z,2024-11-22T14:57:08.677Z,,"-,Open Information",
b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,Automate the review of non-complex applications for Temporary Resident Visas and Work Permits made under the Canada-Ukraine Authorization for Emergency Travel (CUAET),3,,Not Planned,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2023-01-11T13:27:26.349Z,2025-07-29T13:00:55.154Z,,,
c088f841-2d79-4c7e-9281-cc65cbae1b06,Algorithmic Impact Assessment – Pre-load Air Cargo Targeting,8,,As Needed,,2024-03-05T15:11:21.056Z,2025-12-04T20:01:20.852Z,,,
c839bedc-0d5f-4b02-98a7-671d1f60ac51,Algorithmic Impact Assessment - Claim Summary Tool (CST),10,Service Delivery Branch,As Needed,cstprojectteam-ordiiequipedeprojet@veterans.gc.ca,2026-02-23T14:31:00.154Z,2026-02-23T14:31:00.294Z,https://veterans.gc.ca/en/mental-and-physical-health/physical-health-and-wellness/compensation-illness-or-injury/disability-benefits/claim-summary-tool,,2026-02-17 0:00
cea9985f-5e0f-425e-9b7e-e1d122272c56,Algorithmic Impact Assessment - ATIP Online Request Service,9,Office of the Chief Information Officer,Not Planned,open-ouvert@tbs-sct.gc.ca,2020-01-31T13:21:33.790Z,2024-11-23T02:42:05.586Z,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html,,
d24ae2dd-8399-4b49-8441-3e0318aaf69a,Algorithmic Impact Assessment - Repayment Assistance Plan – Enhanced Verification Model,2,,As Needed,,2025-05-16T17:31:02.910Z,2025-06-10T17:40:46.951Z,,,
d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534,Algorithmic Impact Assessment - Spouse or Common-Law Partner in Canada Advanced Analytics,3,,Not Planned,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2021-08-05T12:11:25.386Z,2024-11-22T14:57:07.715Z,,,
daa9ca66-566f-4c2e-a285-d2e217c2a00f,Algorithmic Impact Assessment - Record of Employments (ROE) Comments Assessment,2,,As Needed,open-ouvert@tbs-sct.gc.ca,2022-01-13T21:55:59.319Z,2025-07-09T15:30:42.934Z,https://www.canada.ca/en/employment-social-development/programs/ei/ei-list/ei-roe/access-roe.html,,
eaeb269c-6ac5-4429-a5aa-1fcc07c77933,Algorithmic Impact Assessment - Client Reporting and Engagement System (CRES)/ReportIn,1,,As Needed,CBSA.OpenGov-GouvOuvert.ASFC@cbsa-asfc.gc.ca,2024-11-13T16:20:28.729Z,2026-02-02T21:02:53.514Z,,,
eed746a8-a682-47c2-86b1-b427398fa2e2,Algorithmic Impact Assessment - Export Compliance Dashboard,1,,Irregular,CBSA.OpenGov-GouvOuvert.ASFC@cbsa-asfc.gc.ca,2025-10-24T13:21:03.746Z,2025-10-24T13:21:03.746Z,,,
f028d40f-3c0e-4a36-8a38-fe18d7aaaa32,Passport Automated Decision-Making in IRCC’s Global Case Management System (GCMS),3,,Continual,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2024-04-25T12:51:37.314Z,2025-06-02T14:00:47.590Z,,,
f95dbd40-1236-428c-acd1-25b7559686be,Family Class Spouses and Partners Overseas Applications,3,,As Needed,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2024-05-30T13:51:53.155Z,2024-11-22T14:57:10.017Z,,,
