document_language,extraction_confidence,governance_human_oversight,governance_transparency,key_terms_accountability,key_terms_bias,key_terms_equity,key_terms_transparency,metadata_department,metadata_project_phase,metadata_project_title,pdf_filename,project_overview_description
fr,medium,not mentioned,not mentioned,False,False,False,False,Secrétariat du Conseil du Trésor,Implémentation,Services numériques d’AIPRP,ATIP_Online_Request_Service_fr_1.pdf,"[ Points: 0 ] 

 Site Web central et simple permettant aux Canadiens de soumettre des demandes d'AIPRP 

Qu'est-ce qui motive votre équipe à introduire l'automatisation dans ce processus décisionnel? 
(Cochez toutes les réponses qui s'appliquent."
fr,medium,not mentioned,not mentioned,False,False,False,False,Citoyenneté et de l'Immigration (Ministère de la),Mise en oeuvre,Outil de soutien aux activités administratives (OSAA),Administrative_Activities_Support_Tool_fr.pdf,"L’OSAA est un soutien du traitement qui aide le personnel à effectuer des 
tâches administratives liées aux demandes d’immigration, y compris la 
correspondance d’éléments de données et la création de messages en bloc."
fr,medium,not mentioned,not mentioned,False,False,False,False,Citoyenneté et de l'Immigration (Ministère de la),Implémentation,Triage au moyen de l’analyse avancée des demandes de visa de résident,Advanced_Analytics_Triage_of_Overseas_Temporary_Resident_Visa_Applications_fr.pdf,"Ce projet vise à simplifier l’évaluation de l’admissibilité pour toutes les 
demandes de visa de résident temporaire (visa de visiteur) présentées depuis 
l’étranger afin d’aider les décideurs d’IRCC à traiter les demandes plus 
efficacement."
fr,medium,not mentioned,not mentioned,False,True,False,False,Citoyenneté et de l'Immigration (Ministère de la),Mise en oeuvre,Triage au moyen de l’analytique avancée des demandes de fiche du visiteur,Advanced_Analytics_Triage_of_Visitor_Record_Applications_fr_1.pdf,"Ce projet vise à simplifier l’évaluation de la recevabilité pour toutes les 
demandes de fiche de visiteurs afin d’aider les décideurs d’IRCC à traiter les 
demandes plus efficacement."
fr,medium,not mentioned,not mentioned,False,False,False,False,Emploi et du Développement social (Ministère de l'),Mise en œuvre,Utilisation de l'Apprentissage Automatique pour réduire les inventaires du programme de,Algorithmic_Impact_Assessment_-_Employment_Insurance_Machine_Learning_Workload_fr.pdf,"Le réexamen des demandes nécessitant un recalcul des prestations de l'assurance-emploi 

(AE) implique une analyse approfondie et une réévaluation complète en réponse à de 

nouvelles informations ou à des changements de circonstances."
fr,medium,not mentioned,not mentioned,False,False,False,False,Agence de la santé publique du Canada,Implémentation,Reconnaissance de preuve de vaccination d’ArriveCAN,ArriveCAN_Proof_of_Vaccination_Recognition_fr.pdf,"ArriveCAN est une plateforme numérique qui sert à recueillir des renseignements sur les voyages
et la santé liés à la COVID-19 auprès des personnes qui se rendent au Canada."
fr,medium,not mentioned,not mentioned,False,True,False,False,Citoyenneté et de l'Immigration (Ministère de la),Implémentation,Automatiser l'examen des demandes non complexes de visa de résident,Automate_the_review_of_non-complex_applications_for_Temporary_Resident_Visas_and_Work_Permits_made_u_fr_1.pdf,"Ce projet permettra d'automatiser le traitement des demandes pour certains 
visas de résident temporaire et permis de travail faites dans le cadre de 
l'Autorisation de voyage d'urgence Canada-Ukraine (AVUCU)."
fr,medium,not mentioned,not mentioned,False,True,False,False,Citoyenneté et de l'Immigration (Ministère de la),Mise en oeuvre,Triage et déterminations positives de la recevabilité automatisés des,Automated_Triage_and_Positive_Eligibility_Determinations_of_In-Canada_Work_Permit_Applications_fr.pdf,"""Ce projet a pour but de simplifier l’évaluation de la recevabilité des demandes
de permis de travail postdiplôme (PTPD) et des autres demandes de permis
de travail au Canada afin d’aider les décideurs d’IRCC à traiter les demandes
de manière plus efficace."
fr,medium,not mentioned,not mentioned,False,False,False,False,Anciens Combattants (Ministère des),Conception,Développement de l’automatisation à l’appui de la prise de décisions en,Automation_Development_to_Support_Disability_Benefit_Decision_Making_fr.pdf,"Le projet vise à accroître notre utilisation des technologies d’automatisation 
afin d’améliorer le traitement des décisions en matière de prestations 
d’invalidité et de réduire l’arriéré global."
fr,medium,not mentioned,not mentioned,False,True,False,False,Citoyenneté et de l'Immigration (Ministère de la),Implémentation,Utilisation d’outils d’automatisation pour faciliter le traitement des demandes,Automation_Tools_to_Help_Process_Privately_Sponsored_Refugee_Applications_fr.pdf,"Le système d’automatisation permet de simplifier le traitement des deux 
parties des demandes de réfugiés parrainés par le secteur privé : la partie 
concernant le parrainage et la partie concernant le réfugié."
fr,medium,not mentioned,not mentioned,False,False,False,False,Agence des services frontaliers du Canada,Mise en oeuvre,Client Reporting and Engagement System (CRES/ReportIn) / Système de,Client_Reporting_and_Engagement_System_CRESReportIn_fr_1.pdf,"Contexte

 [ Points: 0 ] 

L’Agence des services frontaliers du Canada (ASFC) est responsable de 
surveiller et d’appliquer les conditions imposées aux personnes au Canada en 
vertu de la Loi sur l’immigration et la protection des réfugiés (LIPR) et du 
Règlement sur l’immigration et la protection d"
fr,medium,not mentioned,not mentioned,False,False,False,False,Agence des services frontaliers du Canada,Mise en oeuvre,Tableau de bord de conformité des exportations,Export_Compliance_fr.pdf,"Le Tableau de bord de conformité des exportations est un outil qui fournit des 
informations supplémentaires sur les expéditions destinées à l’exportation."
fr,medium,not mentioned,not mentioned,False,False,False,False,Citoyenneté et de l'Immigration (Ministère de la),Mise en oeuvre,Demandes des époux et des conjoints de la catégorie du regroupement,Family_Class_Spouses_and_Partners_Overseas_Applications_fr_1.pdf,"Le projet vise à automatiser l’approbation de la recevabilité, pour le répondant 
et le demandeur principal, des demandes courantes d'époux et de conjoints 
de la catégorie du regroupement familial à l’étranger."
fr,medium,not mentioned,not mentioned,False,False,False,False,,Mise en œuvre,Griffeye,Griffeye_Tool_fr.pdf,"LOGICIEL déjà utilisé – Outil développé pour catégoriser et classer les images et les 
vidéos d’exploitation d’enfants."
fr,medium,not mentioned,not mentioned,False,False,False,False,Citoyenneté et de l'Immigration (Ministère de la),Mise en oeuvre,Outil d’analyse des tendances en matière d’intégrité,Integrity_trends_analysis_tool_fr.pdf,"L’Outil d’analyse des tendances en matière d’intégrité (OATI) analyse de 
grands volumes de données et extrait divers motifs de risque et de fraude des 
demandes présentant des caractéristiques défavorables, comme des 
conclusions d’interdiction de territoire (p."
fr,medium,not mentioned,not mentioned,False,False,False,False,Citoyenneté et de l'Immigration (Ministère de la),Mise en oeuvre,Modèle de recevabilité du permis de travail d’Expérience internationale,International_Experience_Canada_Work_Permit_Eligibility_Model_fr_1.pdf,"Ce projet vise à simplifier l’évaluation de la recevabilité d’un sous-ensemble de 
demandes de permis de travail d’EIC pour aider les décideurs d’IRCC à traiter 
plus efficacement les demandes."
fr,medium,not mentioned,not mentioned,False,False,False,False,Anciens Combattants (Ministère des),Implémentation,Avantages pour la santé mentale,Mental_Health_Benefit_fr.pdf,"Actuellement, les vétérans doivent attendre la décision relative à leur
demande de prestations d’invalidité avant d’être admissibles à la couverture
en vertu du Programme d’avantages médicaux."
fr,medium,not mentioned,not mentioned,False,False,False,False,Emploi et du Développement social (Ministère de l'),Mise en oeuvre,Priorisation des absences prolongées pour la Sécurité de la vieillesse,Old_Age_Security_Extended_Absence_Leave_Prioritization_fr.pdf,"Service Canada est responsable d’enquêter sur l’utilisation abusive ou 
frauduleuse du programme de la Sécurité de la vieillesse (SV), y compris, mais 
sans s’y limiter, l’identification des individus qui ne sont pas qualifiés pour 
recevoir la SV lorsqu’ils sont hors du Canada et l’arrêt du paiemen"
