document_language,extraction_confidence,governance_human_oversight,governance_transparency,key_terms_accountability,key_terms_bias,key_terms_equity,key_terms_transparency,metadata_department,metadata_project_phase,metadata_project_title,pdf_filename,project_overview_description
en,medium,not mentioned,not mentioned,True,True,False,False,Treasury Board Secretariat,Implementation,ATIP Digital Services,ATIP_Online_Request_Service_en_1.pdf,"Simple central website for Canadians to submit ATIP requests 

What is motivating your team to introduce automation into this decision-making process? 
(Check all that apply)

 Improve overall quality of decisions 
 Use innovative approaches 
Please check which of the following capabilities apply to"
en,medium,not mentioned,not mentioned,True,True,False,False,Treasury Board Secretariat,Implementation,ATIP Digital Services,ATIP_Online_Request_Service_en_2.pdf,"Simple central website for Canadians to submit ATIP requests 

What is motivating your team to introduce automation into this decision-making process? 
(Check all that apply)

 Improve overall quality of decisions 
 Use innovative approaches 
Please check which of the following capabilities apply to"
en,medium,not mentioned,not mentioned,True,True,True,False,Treasury Board Secretariat,Implementation,ATIP Digital Services,ATIP_Online_Request_Service_en_3.pdf,"Simple central website for Canadians to submit ATIP requests

Business Driver / Positive Impact
8."
en,medium,not mentioned,not mentioned,False,False,False,False,Citizenship and Immigration (Department of),Implementation,Administrative Activities Support Tool (AAST),Administrative_Activities_Support_Tool_en.pdf,"AAST is a processing aid that supports staff in completing administrative 
tasks for immigration applications, including data-matching and bulk email 
creation."
en,medium,not mentioned,not mentioned,False,True,False,False,Citizenship and Immigration (Department of),Implementation,Advanced Analytics Triage of Visitor Record Applications,Advanced_Analytics_Triage_of_Visitor_Record_Applications_en_1.pdf,"This project seeks to streamline the eligibility assessment for all visitor record 
applications in order to help IRCC decision-makers process applications more 
efficiently."
en,medium,not mentioned,not mentioned,False,False,True,False,Employment and Social Development (Department of),Implementation,Machine Learning Workload,Algorithmic_Impact_Assessment_-_Employment_Insurance_Machine_Learning_Workload_en.pdf,"Reducing Recalculation Workload through Machine Learning  

Background: 

The recalculation of Employment Insurance (EI) benefits involves conducting a 

comprehensive review and reassessment of a claim in response to new information or 

changes in circumstances."
en,medium,not mentioned,not mentioned,False,False,False,False,Public Health Agency of Canada,Implementation,ArriveCAN Proof of Vaccination Recognition,ArriveCAN_Proof_of_Vaccination_Recognition_en.pdf,"[ Points: 0 ]

ArriveCAN is a digital platform that is being used to collect travel and COVID-19-related health
information from individuals traveling to Canada."
en,medium,not mentioned,not mentioned,True,True,True,False,Citizenship and Immigration (Department of),Implementation,Automate the review of non-complex applications for Temporary Resident,Automate_the_review_of_non-complex_applications_for_Temporary_Resident_Visas_and_Work_Permits_made_u_en.pdf,"The CUAET program was designed from the beginning to respond urgently to 
the crisis in Ukraine by streamlining our existing temporary resident process."
en,medium,not mentioned,not mentioned,True,False,False,False,Veterans Affairs (Department of),Design,Automation Development to Support Disability Benefit Decision Making,Automation_Development_to_Support_Disability_Benefit_Decision_Making_en.pdf,"Project is to increase our use of automation technologies to improve 
throughput of disability decisions and reduce the overall backlog."
en,medium,yes,not mentioned,True,False,False,False,Canada Border Services Agency,Implementation,Client Reporting and Engagement System (CRES/ReportIn) / Système de,Client_Reporting_and_Engagement_System_CRESReportIn_en.pdf,"Background

 [ Points: 0 ] 

Canada’s immigration detention program is governed by the Immigration and 
Refugee Protection Act (IRPA) and the Immigration and Refugee Protection 
Regulations (IRPR)."
en,medium,not mentioned,not mentioned,False,False,False,False,Canada Border Services Agency,Implementation,Export Compliance Dashboard,Export_Compliance_en.pdf,"The Export Compliance Dashboard provides additional information related to 
shipments for export."
en,medium,not mentioned,not mentioned,False,False,False,False,Citizenship and Immigration (Department of),Implementation,Family Class Spouses and Partners Overseas Applications,Family_Class_Spouses_and_Partners_Overseas_Applications_en_1.pdf,"The project seeks to automate the eligibility approval for both the Sponsor 
and Principal Applicant of routine Family Class overseas spouse and partner 
applications."
en,medium,not mentioned,not mentioned,False,False,True,False,Citizenship and Immigration (Department of),Implementation,Integrity trends analysis tool,Integrity_trends_analysis_tool_en_1.pdf,"The Integrity Trends Analysis Tool (ITAT) analyzes large volumes of data and 
extracts various risk and fraud patterns within applications containing adverse 
characteristics, such as inadmissibility findings (e."
en,medium,not mentioned,not mentioned,False,False,False,False,Citizenship and Immigration (Department of),Implementation,International Experience Canada (IEC) Work Permit Eligibility Model,International_Experience_Canada_Work_Permit_Eligibility_Model_en.pdf,"This project seeks to streamline the eligibility assessment for a subset of IEC
WP applications in order to help IRCC decision-makers process applications
more efficiently."
en,medium,not mentioned,not mentioned,True,True,True,False,Veterans Affairs (Department of),Implementation,Mental Health Benefit,Mental_Health_Benefit_en.pdf,"Currently, Veterans must wait for adjudication of their disability benefits
application before becoming eligible for coverage for treatment benefits."
en,medium,not mentioned,not mentioned,True,False,False,False,Citizenship and Immigration (Department of),Implementation,Passport Program Modernization Initiative,Passport_Automated_Decision-Making_in_IRCCs_Global_Case_Management_System_GCMS_en.pdf,"In 2019, the Canadian Passport Order was amended to authorize the use of 
automated decision-making, enabling the Passport Program to begin 
automated processing through the Global Case Management System."
en,medium,not mentioned,not mentioned,False,False,False,False,Citizenship and Immigration (Department of),Implementation,Passport Program Facial Recognition System,Passport_Program_Facial_Recognition_System_en_1.pdf,"The Passport Program (formerly Passport Canada) began using facial 
recognition technology in 2010 to support identity authentication, help detect 
fraud, and prevent passport and travel document issuance to ineligible 
applicants."
en,medium,not mentioned,not mentioned,False,False,False,False,Transport (Department of),Implementation,Pre-load Air Cargo Targeting (PACT) Program,Pre-load_Air_Cargo_Targeting_en_1.pdf,"PACT aims to identify and apply risk mitigation measures to inbound high-risk 
air shipments that could contain concealed improvised explosive devices or 
other threat items prior to loading and departure to Canada."
en,medium,not mentioned,not mentioned,False,False,False,False,Secrétariat du Conseil du Trésor,Mise en oeuvre,Processus de dotation avec la plateforme Knockri : un outil d’évaluation des,Using_artificial_intelligence_AI_to_automate_candidate_evaluations_in_the_staffing_processs_assessme_en.pdf,"Les procédures de sélection sont utilisées afin d’améliorer les décisions 
d’embauche et renforcer l’équité et l’objectivité du processus d’embauche."
en,medium,not mentioned,not mentioned,False,False,False,False,Royal Canadian Mounted Police,Design,Voice2Text,Voice_2_Text_application_en.pdf,"The project involves building a web-based offline, on-premise application that
uses AI engines to assist with the transcription and/or translation of audio
files collected during investigations."
