submission_id,uses_personal_info,pib_bank_numbers,security_classification_score,data_controller_score,multiple_sources,internet_connected_input,interfaces_other_systems,training_data_collector_score,input_data_collector_score,data_description_en,data_description_fr,uses_unstructured_data,unstructured_data_types
3,4,,4,1,3,1,4,1,0,,,0,item1-2
8,4,PPU 068,4,1,3,1,4,1,0,"The data consists primarily of information provided directly by clients through their application and supporting documents. Medical information is obtained from the panel physician who conducts the immigration medical exam of the client. IRCC obtains enforcement records from the Canada Border Service Agency (CBSA) regarding persons who have come under examination at a port of entry or an investigation at an inland office. IRCC also obtains information gathered by Canadian or foreign law enforcement agencies or investigative bodies about persons whose entry to Canada would be dangerous to Canadian security. IRCC obtains additional information from other countries, primarily the United States, Australia and New Zealand, to better establish the identity of foreign nationals and to obtain otherwise unknown information about clients to aid in decision making.","Les données sont principalement constituées de renseignements fournis directement par les clients dans leur demande et documents à l’appui. Des renseignements médicaux sont obtenus auprès du médecin désigné qui
effectue l’examen médical aux fins de l’immigration du client. IRCC obtient de l’Agence des services frontaliers du Canada (ASFC) les dossiers des mesures d’exécution concernant les personnes ayant fait l’objet d’un contrôle à un point d’entrée ou d’une enquête dans un bureau intérieur. IRCC obtient également des renseignements recueillis par des organismes d’application de la loi ou des organismes d’enquête canadiens ou étrangers sur des personnes dont l’entrée au Canada serait dangereuse pour la sécurité du pays. IRCC obtient des renseignements supplémentaires d’autres pays, principalement des États-Unis, de l’Australie et de la Nouvelle-Zélande, afin de mieux établir l’identité des étrangers et d’obtenir des renseignements autrement inconnus sur les clients pour faciliter la prise de décisions.",0,item1-2
9,4,"CBSA PPU 1202, ESDC PPU 116, ESDC PPU 336, ESDC PPU 390",0,1,3,1,4,2,0,"CBSA: Data used to identify the recipient’s length of stay outside Canada
ESDC: Recipient’s personal and OAS and eligibility information","ASFC : Données utilisées pour identifier la durée du séjour du bénéficiaire hors du Canada 

EDSC : Informations personnelles du bénéficiaire et informations sur la SV et l’éligibilité",0,
12,4,PPU 080 Certificates of Identity and Refugee Travel Documents; PPU 081 Regular and Official Passports; PPU 082 Security and Intelligence Case Management,4,4,3,1,4,1,0,"The input data collected by the system comes from client's passport and travel document applications. The information is typed and scanned into the passport issuance systems. The client's photo and biographic information is extracted and shared with the facial recognition system. Client's photos are converted into biometric templates and stored in the system's photo galleries.  On a case by case basis, when there is a clear and direct link to administering the Passport Program's mandate, the Program may also collect biographic information and photos from intelligence and security partners on individuals whose entitlement to a travel document may warrant further review. These photos are converted into biometric templates and may be stored in the facial recognition system.","Les données d’entrée recueillies par le système proviennent des demandes de passeport et de titre de voyage des clients. Les renseignements sont saisis et numérisés dans les systèmes de délivrance des passeports. Les photos et les données biographiques des clients sont extraites et transmises au système de reconnaissance faciale. Les photos des clients sont converties en modèles biométriques et stockés dans les galeries de photos du système. Lorsqu’il existe un lien clair et direct avec l’administration du mandat du Programme de passeport, le Programme peut également obtenir auprès des partenaires du renseignement et de la sécurité des données biographiques et des photos de personnes dont l’admissibilité à un titre de voyage pourrait nécessiter un examen plus approfondi. Ces photos sont converties en modèles biométriques et peuvent être stockées dans le système de reconnaissance faciale.",0,
21,4,"PPU068, PPU051, PPU054",0,1,3,1,0,1,0,ITAT uses data elements found and recorded in IRCC’s Global Case Management System (GCMS) and the Integrated Payment Revenue Management System (IPRMS). The data consists primarily of information provided directly by clients through their TR applications and supporting documents. ITAT also uses information that CBSA and other partners have recorded in the GCMS. IRCC does not use external data sources such as social media.,"L’OATI utilise des éléments de données trouvés et enregistrés dans le Système mondial de gestion des cas (SMGC) d’IRCC et Le Système intégré de gestion des paiements et des revenus (SIGPR). Les données sont principalement constituées de renseignements fournis directement par les clients dans leurs demandes de RT et les documents à l’appui. L’OATI utilise également les renseignements que l’ASFC et d’autres partenaires ont consignés dans le SMGC. IRCC n’utilise pas de sources de données externes, comme les médias sociaux.",0,
22,4,,0,1,1,1,4,1,0,,,0,
28,0,PSE 902,4,4,1,1,0,4,,Input data consist of audio recordings of candidate answers to a set of structured behavioural interview questions. The input data is collected via asynchronous audio interview recordings submitted by candidates.,Les données conservées dans la plateforme consistent en des enregistrements audios des réponses des candidatures à un ensemble de questions d’ordre comportemental obtenues lors d’entrevues structurées. Les données sont recueillies par le biais d’enregistrements d’entrevues audio asynchrones soumis par les candidatures.,0,item1-2
32,4,,4,1,1,1,4,1,0,,,0,
35,4,,0,1,3,1,4,1,0,,,0,item1-2
38,4,,0,1,3,1,0,1,0,"* Biometric enrolments are completed by Visa Application Centres (VACs) and IRCC offices. The client is photographed and fingerprinted using Government of Canada software and hardware. That information is then transmitted to GCMS, where basic biographic details of the client is exported and entered into the Biometric Module in AAST. 
* Immigration medical examinations are conducted by Panel Physicians who submit the information electronically to IRCC.  That information is then transmitted to GCMS, where basic biographic details of the client are exported and entered into the Medical Module in AAST.","* Les inscriptions de données biométriques sont effectuées dans des centres de réception des demandes de visa (CRDV) et des bureaux d’IRCC. Les clients sont photographiés et font leur prise d’empreintes digitales en utilisant les logiciels et le matériel du gouvernement du Canada. Ces renseignements sont ensuite transmis au SMGC, dans lequel les détails biographiques de base des clients sont exportés et entrés dans le module des données biométriques de l’OSAA.

* Les examens médicaux aux fins de l’immigration sont menés par des médecins désignés qui transmettent l’information électroniquement à IRCC. Ces renseignements sont ensuite transmis au SMGC, dans lequel les détails biographiques de base des clients sont exportés et entrés dans le module d’évaluations médicales de l’OSAA.",0,
47,4,,4,,3,1,4,1,0,,,0,
