Automated translation fields,Subject,Spatial Representation Type,Collection Type,Update Frequency,ID,Jurisdiction,Keywords,Licence,Maintainer,Contact Email,Metadata Created,Metadata Modified,Name,Publisher - Organization Name at Publication,Organization,Formats,Date Published,Size,Download URL,Character Set,Language,Format,Related Record Type,Relationship Type,Resource Type,Data Includes URIs and Links,Access Restrictions,Spatial,Time Period Coverage End,Time Period Coverage Start,Title,Topic category,Portal Type,Publisher - Organization Section Name,Homepage,,
-,Government and Politics,-,Algorithmic Impact Assessment,Continual,01396e33-2c69-47e5-9381-32e717943b96,Federal,"AIA,Advanced Analytics,Algorithmic Impact Assessment,Automation,IRCC,Immigration,Peer Review,Visitor Record Applications",Open Government Licence - Canada,-,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2022-10-07T19:45:59.984Z,2025-02-21T13:51:03.550Z,01396e33-2c69-47e5-9381-32e717943b96,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada","JSON,PDF",-,"-,18589,72513,79432","https://open.canada.ca/data/dataset/01396e33-2c69-47e5-9381-32e717943b96/resource/4206e804-e90f-499d-8088-a8048a10e77b/download/aia-english.pdf,https://open.canada.ca/data/dataset/01396e33-2c69-47e5-9381-32e717943b96/resource/55aa7b2d-c272-4e63-895c-63600f2769a6/download/aia-results-bilingual.json,https://open.canada.ca/data/dataset/01396e33-2c69-47e5-9381-32e717943b96/resource/75dddd64-f482-4b6e-a2e0-7f6ab35fef84/download/annex-a-vr-model-peer-review-summary-en.pdf,https://open.canada.ca/data/dataset/01396e33-2c69-47e5-9381-32e717943b96/resource/78c0a4b3-a317-4c74-8865-0f9bea620d4f/download/aia-french.pdf,https://open.canada.ca/data/dataset/01396e33-2c69-47e5-9381-32e717943b96/resource/a0c8c38a-8ae5-4d5a-8cc6-9731a725abc6/download/annex-a-vr-model-peer-review-summary-fr.pdf",-,"English,French","JSON,PDF",-,-,"Assessment,Tool",-,unrestricted,-,-,-,Algorithmic Impact Assessment – Advanced Analytics Triage of Visitor Record Applications,-,Open Information,-,-,,
-,"Economics and Industry,Government and Politics,Labour,Persons",-,Algorithmic Impact Assessment,Continual,04556b29-284a-4d2b-8076-928476d64553,Federal,"AIA,Algorithmic Impact Assessment,Automation,IRCC,Immigration,PGWP,Post-Graduate Work Permits,WP-EXT,Work Permit Extensions",Open Government Licence - Canada,-,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2023-09-25T21:21:20.701Z,2024-11-22T14:57:06.938Z,04556b29-284a-4d2b-8076-928476d64553,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada","JSON,PDF",-,"353,666,988,776,376","https://open.canada.ca/data/dataset/04556b29-284a-4d2b-8076-928476d64553/resource/57848b7f-8d4e-422c-b756-a4a9a49e8ae9/download/aia-results-wp-ext-and-pgwp-sept-2023-bilingual-v3.json,https://open.canada.ca/data/dataset/04556b29-284a-4d2b-8076-928476d64553/resource/5f97fc14-c01c-4408-b0eb-075ec5208f31/download/aia-ircc1-eng.pdf,https://open.canada.ca/data/dataset/04556b29-284a-4d2b-8076-928476d64553/resource/bd5a6571-ddc3-43f5-b2bc-9cee060710fb/download/aia-ircc-1-fr2023.pdf",-,"English,French","JSON,PDF",-,-,Assessment,-,unrestricted,-,-,-,Algorithmic Impact Assessment - Automated Triage and Positive Eligibility Determinations of In-Canada Work Permit Applications,-,Open Information,-,-,General public,Canada
-,"Information and Communications,Labour,Persons,Science and Technology",-,Algorithmic Impact Assessment,Not Planned,061ee9d1-a04a-4590-a381-df8527390f68,Federal,"AI,AIA,Algorithmic Impact Assessment,Artificial Intelligence,GC HR and Pay,transparency by design",Open Government Licence - Canada,-,open-ouvert@tbs-sct.gc.ca,2024-04-18T14:32:32.713Z,2025-03-05T15:42:22.025Z,061ee9d1-a04a-4590-a381-df8527390f68,Public Services and Procurement Canada,Public Services and Procurement Canada,"HTML,JSON,PDF","2024-04-17,2024-08-22,2024-09-05",-,"https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v1-eng.html,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v1-eng.pdf,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v1-fra.html,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v1-fra.pdf,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v1.json,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v2-2-eng.html,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v2-2-eng.pdf,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v2-2-fra.html,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v2-2-fra.pdf,https://donnees-data.tpsgc-pwgsc.gc.ca/bh1/eiaia-aiaai/eia-ia_aia-ai-v2-2.json","-,UTF-8","English,French","HTML,JSON,PDF",-,-,Assessment,-,unrestricted,-,-,-,"GC HR and Pay - Algorithmic Impact Assessment (AIA), Leveraging Artificial Intelligence (AI) for backlog reduction: AI assistant prototype",-,Open Information,-,-,,
-,"Information and Communications,Persons,Processes",-,Algorithmic Impact Assessment,As Needed,123aefbb-c9cb-4243-9be3-7f901daf13f7,Federal,"Automated Decision Making,OAS,Old Age Security,Service Canada",Open Government Licence - Canada,-,open-ouvert@tbs-sct.gc.ca,2024-12-10T21:35:08.367Z,2024-12-10T21:35:08.367Z,123aefbb-c9cb-4243-9be3-7f901daf13f7,Employment and Social Development Canada,Employment and Social Development Canada,"JSON,PDF",-,-,"https://open.canada.ca/data/dataset/123aefbb-c9cb-4243-9be3-7f901daf13f7/resource/23bbcc79-5007-475f-b70f-aacc43d9cc85/download/oas_eav_acc_finalfr.pdf,https://open.canada.ca/data/dataset/123aefbb-c9cb-4243-9be3-7f901daf13f7/resource/52fbe5b9-6187-49f8-88ec-b9325bda86e9/download/oas_eav_acc_final.pdf,https://open.canada.ca/data/dataset/123aefbb-c9cb-4243-9be3-7f901daf13f7/resource/dd2169f1-f2a4-412d-a488-f02aaeed6e0d/download/oas-eav_aia_v7.json",-,"English,French","JSON,PDF",-,-,Assessment,-,unrestricted,-,-,-,Old Age Security Extended Absence Leave Prioritization,-,Open Information,-,-,General public,
-,Government and Politics,-,Algorithmic Impact Assessment,As Needed,1257e5c1-243f-4ab8-be42-e7433c8ebe70,Federal,"AIA,Algorithmic Impact Assessment,Automation,FR,Facial recognition,GBA Plus,GBA+,Gender-based Analysis Plus,IRCC,Passport,Peer Review",Open Government Licence - Canada,-,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2025-08-20T20:20:44.958Z,2025-08-20T20:20:44.958Z,1257e5c1-243f-4ab8-be42-e7433c8ebe70,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada","JSON,PDF",-,"-,187860,188284","https://open.canada.ca/data/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70/resource/034ed718-1364-413b-84d1-1d82d080015e/download/summary-for-publication-passport-facial-recognition-system-gba-plus.pdf,https://open.canada.ca/data/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70/resource/17389218-1d1a-4292-b29b-b001a605b105/download/analyse-comparative-entre-les-sexes-plus-pour-le-systeme-de-reconnaissance-faciale-du-programme-.pdf,https://open.canada.ca/data/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70/resource/372b9016-5a9c-46a1-af95-fdc0ab3119c0/download/algorithmic-impact-assessment-passport-program-facial-recognition-system-bilingual.json,https://open.canada.ca/data/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70/resource/9d45bfac-0e30-4f36-ae8e-b11c4ff9fda5/download/annex-a.-algorithmic-impact-assessment-facial-recognition-system-en.pdf,https://open.canada.ca/data/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70/resource/bc604193-d419-45d7-818d-f4b76a41094e/download/annex-b.-resultats-de-levaluation-de-lincidence-algorithmique-pdf.pdf",-,"English,French","JSON,PDF",-,-,Assessment,-,unrestricted,-,-,-,Assessments - Passport Program Facial Recognition System,-,Open Information,-,-,,
-,Government and Politics,-,Algorithmic Impact Assessment,Continual,240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,Federal,"AIA,Algorithmic Impact Assessment,Automation,GBA+,IRCC,ITAT,Immigration",Open Government Licence - Canada,-,IRCC.Open-Ouvert.IRCC@cic.gc.ca,2022-12-28T14:28:11.201Z,2025-03-28T14:30:48.757Z,240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada","JSON,PDF",-,"-,109575,38952,98208","https://open.canada.ca/data/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378/resource/62473d4f-d38c-4b35-8adf-784da82bf516/download/aia-document-in-pdf-format-en.pdf,https://open.canada.ca/data/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378/resource/e88b0b98-5599-45fb-a494-ddb094dbf82e/download/3.1-annex-a-french-peer-review-for-itat-and-ircc-response.pdf,https://open.canada.ca/data/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378/resource/f2d56909-b044-49ea-9759-cb75466c1f41/download/3.0-annex-a-peer-review-for-itat-and-ircc-response.pdf,https://open.canada.ca/data/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378/resource/f6be66ec-30dc-4ce4-8266-90ffe3e7a680/download/aia-results_mar-25.json,https://open.canada.ca/data/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378/resource/f723a4ed-b63c-420b-abd4-1b88bfd1d877/download/aia-document-in-pdf-format-fr.pdf",-,"English,French","JSON,PDF",-,-,"Assessment,Dataset",-,unrestricted,-,-,-,Algorithmic Impact Assessment – Integrity trends analysis tool,-,Open Information,-,-,,
-,Government and Politics,-,Algorithmic Impact Assessment,Not Planned,24d2cab2-6a0d-4234-9239-b6ce102ebabd,Federal,"AIA,Artificial Intelligence,EI,ERB,Machine Learning,Random Forest",Open Government Licence - Canada,-,morgan.goddard@servicecanada.gc.ca,2023-06-28T22:42:32.368Z,2024-11-21T02:17:07.678Z,24d2cab2-6a0d-4234-9239-b6ce102ebabd,Employment and Social Development Canada,Employment and Social Development Canada,"JSON,PDF",-,"152,231,600,562,375","https://open.canada.ca/data/dataset/24d2cab2-6a0d-4234-9239-b6ce102ebabd/resource/437a8cc2-da3a-4ed7-abb1-d45dfd7af0e3/download/aia_ei_backlog_reduction.pdf,https://open.canada.ca/data/dataset/24d2cab2-6a0d-4234-9239-b6ce102ebabd/resource/7a199b11-9b8c-480c-88bd-ec9125b3bfaf/download/aia_ae_reduction_inventaire.pdf,https://open.canada.ca/data/dataset/24d2cab2-6a0d-4234-9239-b6ce102ebabd/resource/8c0e7774-3532-48a7-8da9-e93076e3c26d/download/aia-results_second_assesment.json",-,"English,French","JSON,PDF",-,-,Assessment - Risk Assessment,-,unrestricted,-,-,-,Reducing Employment Insurance Backlog: A Machine Learning Approach,-,Open Information,-,-,General public,Canada
-,Government and Politics,-,Algorithmic Impact Assessment,Not Planned,44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Federal,"Accounting,Algorithmic Impact Assessment,CBSA Assessment and Revenue Management,Commercial Importations,Compliance,Duties and taxes",Open Government Licence - Canada,-,CBSA.OpenGov-GouvOuvert.ASFC@cbsa-asfc.gc.ca,2025-12-09T18:21:09.554Z,2025-12-09T18:21:09.554Z,44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Canada Border Services Agency,Canada Border Services Agency,PDF,2025-12-08,-,"https://open.canada.ca/data/dataset/44fe9b0d-d730-43cf-ba7e-d952d55f88f2/resource/bbb096b4-5282-4fd9-ad0a-7720781827f2/download/levaluation-de-lincidence-algorithmique-gestion-des-cotisations-et-des-recettes-de-lasfc-gcra.pdf,https://open.canada.ca/data/dataset/44fe9b0d-d730-43cf-ba7e-d952d55f88f2/resource/c33182d7-794d-4fcd-8701-7eef185a1929/download/algorithmic-impact-assessment-cbsa-assessment-and-revenue-management-carm.pdf",-,"English,French",PDF,-,-,Assessment,-,unrestricted,-,-,-,Algorithmic Impact Assessment - CBSA Assessment and Revenue Management (CARM),-,Open Information,-,-,,
-,Government and Politics,-,Algorithmic Impact Assessment,Continual,52b8574d-5c95-463b-b375-8edd092cea30,Federal,"AIA,Algorithmic Impact Assessment,Staffing,Treasury Board of Canada Secretariat",Open Government Licence - Canada,-,sabrina.nandkissore@tbs-sct.gc.ca,2024-02-28T14:51:05.445Z,2024-11-21T03:33:07.484Z,52b8574d-5c95-463b-b375-8edd092cea30,Treasury Board of Canada Secretariat,Treasury Board of Canada Secretariat,"JSON,PDF",2024-02-28,"11,776,113,441,476,700","https://open.canada.ca/data/dataset/52b8574d-5c95-463b-b375-8edd092cea30/resource/24df6145-9429-4f21-87ba-1e77d8cb5c71/download/algorithmic-impact-assessment-processus-de-dotation-avec-la-plateforme-knockri-un-outil-devaluat.pdf,https://open.canada.ca/data/dataset/52b8574d-5c95-463b-b375-8edd092cea30/resource/4baa87d0-0123-4d51-8de9-271607dd060f/download/algorithmic-impact-assessment-using-artificial-intelligence-ai-to-automate-candidate-evaluation.json,https://open.canada.ca/data/dataset/52b8574d-5c95-463b-b375-8edd092cea30/resource/f7a43e13-44f3-4d43-b588-97aedb17c3f8/download/algorithmic-impact-assessment-using-artificial-intelligence-ai-to-automate-candidate-evaluations.pdf",-,"English,French","JSON,PDF",-,-,Assessment,-,unrestricted,-,-,-,Using artificial intelligence (AI) to automate candidate evaluations in the staffing process's assessment phase,-,Open Information,Human Resources Division,-,"General public,Job seekers",Ontario
-,Government and Politics,-,Algorithmic Impact Assessment,Continual,5423054a-093c-4239-85be-fa0b36ae0b2e,Federal,"AI,AIA,Artificial Intelligence",Open Government Licence - Canada,-,ai-ia@tbs-sct.gc.ca,2020-01-30T16:20:50.572Z,2024-11-21T01:26:00.981Z,5423054a-093c-4239-85be-fa0b36ae0b2e,Treasury Board of Canada Secretariat,Treasury Board of Canada Secretariat,"HTML,XLS",-,"-,44892,92533","https://open.canada.ca/aia-eia-js/?lang=en,https://open.canada.ca/aia-eia-js/?lang=fr,https://open.canada.ca/data/dataset/5423054a-093c-4239-85be-fa0b36ae0b2e/resource/8d68b5a3-5e61-4e94-9d48-8dc63b6e1ba6/download/aia-en-fr.xlsx,https://open.canada.ca/data/dataset/5423054a-093c-4239-85be-fa0b36ae0b2e/resource/b3bcac90-e633-4c90-9bec-d2bb7202c2c2/download/aiaen.xlsx",-,"English,French","HTML,XLS",-,-,Tool,-,unrestricted,-,-,-,Algorithmic Impact Assessment,-,Open Information,-,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html,Government,
