Algorithmic Impact Assessment,Link
Export Compliance,https://open.canada.ca/data/en/dataset/eed746a8-a682-47c2-86b1-b427398fa2e2
Passport Program Facial Recognition System,https://open.canada.ca/data/en/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70
Automate the review of non-complex applications for Temporary Resident Visas and Work Permits made under the Canada-Ukraine Authorization for Emergency Travel (CUAET),https://open.canada.ca/data/en/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d
Record of Employments (ROE) Comments Assessment,https://open.canada.ca/data/en/dataset/daa9ca66-566f-4c2e-a285-d2e217c2a00f
Repayment Assistance Plan – Enhanced Verification Model,https://open.canada.ca/data/en/dataset/d24ae2dd-8399-4b49-8441-3e0318aaf69a
Temporary Foreign Worker Program Case Selection Algorithm,https://open.canada.ca/data/en/dataset/b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80
Passport Automated Decision-Making in IRCC’s Global Case Management System (GCMS),https://open.canada.ca/data/en/dataset/f028d40f-3c0e-4a36-8a38-fe18d7aaaa32
Integrity trends analysis tool,https://open.canada.ca/data/en/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378
Administrative Activities Support Tool,https://open.canada.ca/data/en/dataset/71b309a0-efd2-4e85-8124-37e935c23aef
Leveraging Artificial Intelligence (AI) for backlog reduction: AI assistant prototype,https://open.canada.ca/data/en/dataset/061ee9d1-a04a-4590-a381-df8527390f68
Advanced Analytics Triage of Visitor Record Applications,https://open.canada.ca/data/en/dataset/01396e33-2c69-47e5-9381-32e717943b96
Advanced Analytics Triage of Overseas Temporary Resident Visa Applications,https://open.canada.ca/data/en/dataset/6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0
Voice 2 Text application,https://open.canada.ca/data/en/dataset/7612202f-1530-41ce-80c7-6e121f5fcadc
Old Age Security Extended Absence Leave Prioritization,https://open.canada.ca/data/en/dataset/123aefbb-c9cb-4243-9be3-7f901daf13f7
ATIP Online Request Service,https://open.canada.ca/data/en/dataset/cea9985f-5e0f-425e-9b7e-e1d122272c56
Family Class Spouses and Partners Overseas Applications,https://open.canada.ca/data/en/dataset/f95dbd40-1236-428c-acd1-25b7559686be
International Experience Canada Work Permit Eligibility Model,https://open.canada.ca/data/en/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3
Spouse or Common-Law Partner in Canada Advanced Analytics,https://open.canada.ca/data/en/dataset/d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534
Automation Tools to Help Process Privately Sponsored Refugee Applications,https://open.canada.ca/data/en/dataset/ad4be3b8-ac97-4dc1-8dd8-231239d018f2
Automated Triage and Positive Eligibility Determinations of In-Canada Work Permit Applications,https://open.canada.ca/data/en/dataset/04556b29-284a-4d2b-8076-928476d64553
Automation Development to Support Disability Benefit Decision Making,https://open.canada.ca/data/en/dataset/aafdfbcd-1cdb-4913-84d5-a03df727680c
Griffeye Tool,https://open.canada.ca/data/en/dataset/89898244-aaae-4591-ba9b-fe5cd81d5924
Pre-load Air Cargo Targeting,https://open.canada.ca/data/en/dataset/c088f841-2d79-4c7e-9281-cc65cbae1b06
Using artificial intelligence (AI) to automate candidate evaluations in the staffing process's assessment phase,https://open.canada.ca/data/en/dataset/52b8574d-5c95-463b-b375-8edd092cea30
Algorithmic Impact Assessment - Employment Insurance Machine Learning Workload,https://open.canada.ca/data/en/dataset/6b429c8e-ee5b-451a-883f-b6180ada9286
Reducing Employment Insurance Backlog: A Machine Learning Approach,https://open.canada.ca/data/en/dataset/24d2cab2-6a0d-4234-9239-b6ce102ebabd
ArriveCAN Proof of Vaccination Recognition,https://open.canada.ca/data/en/dataset/afc17416-3781-422d-a4a9-cc55e3a053c8
Client Reporting and Engagement System (CRES)/ReportIn,https://open.canada.ca/data/en/dataset/eaeb269c-6ac5-4429-a5aa-1fcc07c77933
Mental Health Benefit,https://open.canada.ca/data/en/dataset/9addf54a-7148-459f-b785-0e240414ef7f
